,날짜,기사제목,기사내용
0,2021.08.01. 오후 4:52,말복 앞두고 닭고기 가격 ㎏당 약 6천원…2년 6개월만에 최고(종합),"폭염에 폐사 피해 규모 커…여름과일·채소 가격도 고공행진육계 가격 2년 6개월 만에 최고[연합뉴스 자료사진](서울=연합뉴스) 고은지 기자 = 말복(8월 10일)을 앞두고 육계 소매가격이 2년 6개월 만에 최고치를 기록했다.    폭염이 장기간 이어지면서 육계 농가에 폐사 피해가 커진 탓이다.    여름철 소비가 많은 채소와 과일 가격 역시 가파르게 상승하고 있다.    1일 축산물품질평가원 축산유통정보에 따르면 지난달 30일 육계 소매가격은 ㎏당 5천991원으로 2019년 1월 28일 5천992원 이후 약 2년 6개월 만에 가장 비싸졌다.    지난해 말과 올해 초 고병원성 조류인플루엔자(AI)가 기승을 부리던 때보다 가격이 더 오른 것이다.    올해 월별로 보면 육계 1㎏ 소매가격은 지난 2월 5천760원으로 정점을 찍은 뒤 6월 5천309원까지 내려갔지만, 이달 들어 반등하면서 6천원에 육박했다.    최근 육계 가격이 오른 것은 폭염으로 인해 폐사하는 가축 수가 크게 늘었기 때문이다.    특히 지난달 29일까지 폐사한 육계 수는 18만9천651마리로 전체 폐사 가축의 65.1%를 차지했다.    최악의 폭염이 발생했던 2018년의 육계 폐사 마릿수(629만2천528마리)와 비교하면 3.0% 수준이지만, 신종 코로나바이러스 감염증(코로나19) 장기화로 이미 가정식 수요가 많아진 상황에서 계절적 요인까지 겹치면서 가격이 빠르게 오르는 추세다.김현수 농식품부 장관, 경기 포천 육계농장 방문[농식품부 제공. 재판매 및 DB 금지]    농림축산식품부는 지방자치단체, 농축협 등과 협력해 폭염에 취약한 축산농가를 대상으로 냉방장치 설치·작동 여부 등 폭염 대비상황을 점검하고, 피해가 발생하면 신속한 조사를 통해 재해복구비와 보험금을 지급할 방침이다.    이날 김현수 농식품부 장관은 경기 포천의 육계 사육농장을 방문해 최근 기상이변에 따른 여름철 농업재해 대비사항을 점검했다.    김 장관은 ""비가 오고 난 이후 습도가 높은 상황에서 폭염이 지속되면 열 스트레스로 인해 가금이 폐사하는 사례가 많았다""며 ""축사 내 온도와 습도 조절을 위해 환풍기 등 냉방·습도 조절 장치를 꾸준히 가동하고 적정 사육밀도를 준수하면서 가축에 충분한 영양제를 공급해 폐사가 최소화될 수 있도록 최선을 다해 달라""고 요청했다.폭염에 일부 채소 가격 급등(서울=연합뉴스) 류효림 기자 = 지난달 28일 서울 시내 대형마트 채소 판매대 모습. 2021.7.28 ryousanta@yna.co.kr    여름철 채소와 과일 가격도 고공행진을 이어가는 중이다.    한국농수산식품유통공사(aT) 농산물유통정보를 보면 지난달 30일 기준 청상추 상품 평균 소매가격은 100ｇ당 1천572원으로 한 달 전의 1천82원보다 45.3% 급등했다. 서울의 경우 일부 대형 유통업체에서는 청상추 100ｇ을 2천190원에 판매하는 것으로 집계됐다.    같은 기간 시금치 상품 평균 소매가격은 1㎏당 7천979원에서 1만9천459원으로 2.4배 뛰었다. 대구의 한 대형마트는 시금치를 2만9천950원에 팔아 전국 최고 가격을 기록했다.    양배추는 상품 기준 포기당 평균 3천77원에서 3천397원으로 한 달 새 10.2%, 배추는 전체 품종 상품 기준 포기당 3천118원에서 3천502원으로 12.3% 상승했다.    수박 가격은 지난달 30일 상품 기준 평균 2만3천909원으로 한 달 전의 1만8천317원보다 30.5% 올랐다. 일부 소매업체에서는 4만원이 넘는 수박이 등장하기도 했다.    농식품부는 잎채소의 경우 생육기간이 짧아 출하가 계속 이뤄지면 가격 상승이 제한될 것으로 예상하면서도 폭염이 계속되면 수급 불안정성을 키울 수 있는 만큼 상황을 면밀하게 모니터링하면서 농업 재해로 인한 피해가 농가와 소비자의 부담으로 이어지지 않도록 하겠다고 밝혔다. eun@yna.co.kr"
1,2021.08.03. 오전 4:15,"폭염 속 채소·닭고기 가격 비상…대형마트 ""대체산지 확보""","시금치 1kg 2만원·육계 1kg 6000원 육박""코로나19에 폭염으로 산지 인건비 상승""[서울=뉴시스] 고범준 기자 = 폭염이 이어지는 가운데 일부 채소 가격이 급등하고 있다. 한국농수산식품유통공사(aT)의 농산물 유통정보에 따르면 최근 상추, 시금치, 깻잎 등 엽채류(잎채소류) 가격이 크게 올랐다고 밝혔다. 28일 서울 서초구 농협하나로마트 양재점에서 쌈 채소류가 판매되고 있다. 2021.07.28. bjko@newsis.com[서울=뉴시스]김정현 기자 = 기록적인 폭염과 코로나19로 인한 집밥 수요 증가가 겹치면서 신선식품 가격이 고공행진을 보이자 대형마트들도 긴장하는 모습이다. 가격 상승이 계속될 것으로 보고 대체 산지 확보, 대량 매입 등에 나서고 있다.3일 유통업계에 따르면 대형마트들은 최근 폭염과 코로나19 영향으로 인한 집밥 수요 증가, 산지 인력수급난으로 인해 잎채소류 가격 급등세가 상당 기간 계속될 것으로 내다보고 있다.이날 한국농수산식품유통공사(aT) 농산물 유통정보(KAMIS)에 따르면, 지난달 30일 기준 시금치 1㎏ 평균 소매가는 1만9459원으로 한달 전(7979원) 대비 두 배 이상(143.9%) 급등했다. 1년 전(1만201원)과 비교해서도 두 배 가까이(90.8%) 상승했다.다른 잎채소류 가격도 상승세다. 같은 기간 배추 1포기 평균 소매가는 3502원으로 전월(3118원) 대비 12.3% 상승했다. 청상추 100g은 1572원(45.3%) 적상추 100g은 1470원(45.1%), 얼갈이배추 1㎏은 2782원(29.6%), 양배추 1포기는 3397원(10.4%)으로 올랐다.통상 채소값은 폭염과 장마 영향으로 8월 중하순에 오른다. 하지만 올해는 열대야 현상이 지난해보다 23일 빠르게 나타났다. 비닐하우스에서 재배하는 상추, 깻잎, 시금치의 경우 농가에서 끝이 타는 '팁번(tip burn, 잎마름)'과 '짓무름' 현상이 확산한다. 유통업계 한 관계자는 ""잎채소는 기온이 올라가면 생육이 저하되고 입이 얇아지며 짓무름이 심해져 생산량이 줄어든다""며 ""잎을 하나하나 따는 엽채류 특성 상 더운 날씨에 작업이 쉽지 않아 생산성 및 작업 속도 감소로 출하량이 떨어진다""고 설명했다.코로나19 유행도 채소값을 끌어올리는 한 요인이다. 식당 소비량은 감소하지만 집밥 수요가 증가하면서 마트와 이커머스에선 생필품 매출이 증가하고 있다.대형마트 한 관계자는 ""코로나19와 폭염 영향으로 외국인 노동자가 줄어 산지에서 인력을 수급하기가 매우 어렵다""며 ""인건비 상승 영향도 채소값 상승을 견인하고 있다""고 설명했다.홈플러스 관계자는 ""마트는 밭에서 나오는 생산량을 통째 사오는 계약재배를 하는 경우가 많아 시세를 덜 탄다""면서도 ""도매 물량 시세 급등을 고려해 대체 산지를 최대한 확보하려 한다""고 말했다. [서울=뉴시스]지난 2월 서울의 한 대형마트에서 닭이 판매되고 있다. (사진=뉴시스DB). 2021.02.19. photo@newsis.com말복(8월10일)을 앞두고 닭고기 가격도 심상찮다. 축산물품질평가원 축산유통정보에 따르면 지난달 30일 육계 소매가격은 ㎏당 5991원으로 2019년 1월28일 5992원 이후 약 2년6개월만에 가장 비싸졌다.이는 폭염으로 인해 폐사하는 가축 수가 크게 늘었기 때문으로 풀이된다. 농림축산식품부(농식품부)에 따르면 지난달 1일~29일까지 육계 18만9651마리, 산란계 4475마리, 토종닭 7만7223마리 등 닭 27만1349마리가 폐사했다. 대형마트 한 관계자는 ""지난해 같은 기간보다 30% 이상 가격이 오른 상황""이라며 ""코로나19로 집밥 수요가 늘고 있어 육계 가격 상승세가 당분간 이어질 전망""이라고 내다봤다.대형마트들은 실제 소비자들의 밥상 물가가 오르지 않도록 유통체계 점검에 나선다.이마트는 산지 다변화와 계약 재배, 대량 매입 등을 통해 가격 인상을 최소화하겠다는 입장이다. 말복을 앞두고 오는 5일부터는 일주일간 토종닭 백숙용 전품목, 무항생제 백숙용 계육을 최대 20% 할인 판매하는 판촉을 통해 가격 안정화에 나설 방침이다.롯데마트는 폭염으로 인한 상품성 저하를 방지하기 위해 저온유통체계(콜드체인)를 점검한다. 동시에 체크리스트를 활용해 비육, 도축·가공, 생산, 판매에 이르는 전 과정에서 품질 유지에 중점을 둘 계획이다."
2,2021.08.02. 오후 3:21,'폭염에 닭고기 가격 올라',"(서울=뉴스1) 임세영 기자 = 2일 오후 서울의 한 대형마트에서 고객이 닭고기를 살펴보고 있다. 최근 계속되는 폭염으로 육계 가격이 오르고 있다. 축산물품질평가원에 따르면 지난달 30일 기준 육계 가격은 1kg당 5,991원으로 지난 2019년 1월 28일 1kg 당 5,992원 이후 약 2년 6개월 만에 가장 높은 가격이다. 2021.8.2/뉴스1		"
3,2021.08.01. 오후 7:34,"말복에 뭐 먹지?…닭고기 값, 2년 반 만에 최고가","			삼복더위에 한창 먹을 삼계탕. 하지만 마트, 시장에 나온 닭고기 값은 2년 반 만에 가장 비쌉니다. 과일값, 채소값도 덩달아 치솟고 있다는데요. 이유가 뭔지, 안건우 기자가 알아봤습니다.[리포트]말복을 앞두고 찾은 닭고기 코너.  가격표를 보면 자연스레 내려놓게 됩니다. 이틀 전 기준으로 닭고기 소매 가격은 킬로그램당 5991원.  지금보다 딱 1원 비쌌던 2019년 1월 28일 이후 가장 비쌉니다. 올해 초 조류인플루엔자, AI가 기승을 부린 데다가  [김상근/한국육계협회장] ""(닭고기를 생산하는) 종계는 어미 닭 아닙니까. AI 때 살 처분되니 종계가 만들어지려면 시간이 걸릴 거 아녜요.""  최근 덮친 폭염으로 그나마 남은 닭까지 폐사되면서 안 그래도 줄어든 닭고기 생산량이 더 줄었습니다.  폐사 가축의 65%가 닭이었을 정도.  다른 먹거리 가격도 비상이긴 마찬가지입니다. ""채소 가격도 뛰었습니다. 7천 원대였던 시금치는 한 달 만에 1만 9천 원대로 두 배 넘게 올랐습니다."" 청상추 소매가격은 45%, 수박은 30% 올랐는데이중엔 한 통에 4만 원 가까운 것도 있습니다.  라면값과 과자, 가공식품값도 올랐고, 유제품 가격까지 줄줄이 인상을 앞둔 상황.  [송민복/서울 구로구] ""계단식으로 성큼성큼, 인플레이션처럼 한 번에 부쩍 오르는걸 몸으로 느끼는 것 같아요. 안 먹을 수도 없고.""  주요 원재료 수출국의 작황 부진으로 밀과 옥수수 등 원재료 가격이 계속 오르고 있어서 하반기에도 밥상물가 급등을 피하기 어려울 거란 암울한 전망이 지배적입니다.  채널A뉴스 안건우입니다.  srv1954@donga.com 영상취재: 이락균 영상편집: 유하영		"
5,2021.08.28. 오전 10:01,"[초점] 육계업계, 닭고기 소매價 상승에도 실적 추락…왜","공급과잉으로 도매가격 추락…""정부 개입 절실""교촌치킨과 bhc 등 치킨업계가 작년 매출 4천억원을 돌파하는 등 사상 최대 실적을 내고 있지만 그들에게 생닭을 공급하는 육계업계는 연일 '적자 행진'을 이어가고 있다.닭고기 소비자 가격이 이전보다 높은 수준이고 치킨업계 매출은 상승하고 있는데 육계업계만 내림세를 이어가고 있는 것이다.28일 금융감독원 전자공시시스템에 따르면 마니커, 체리부로 등 주요 육계업계가 상반기 적자를 이어갔다.서울의 한 대형마트 닭고기 판매대 모습 [사진=뉴시스] ◆ 마니커·체리부로 등 주요 기업들 적자 지속 특히 마니커는 2019년부터 3년 연속 영업적자를 이어가고 있다. 2019년 150억3천100만원, 지난해 309억4천100만원, 올 상반기 74억9천900만원의 영업손실을 각각 기록했다.닭고기 소비자 가격이 올랐음에도 적자를 회복하지 못하고 있는 모습이다. 한국농수산식품유통공사(aT)에 따르면 전날 기준 닭고기 중품 1㎏ 소매 평균 가격은 5천648원으로 1년 전보다 6.2%, 평년보다 4.4% 각각 올랐다.이에 마니커는 25일 마니커는 기명식 보통주 5주를 동일한 액면주식 1주로 무상병합하는 감자를 결정했다. 무상감자란 주주에게 보상 없이 무상으로 발행 주식 수를 줄이는 것을 뜻한다. 통상 자본금을 줄여 회계상의 손실을 줄이기 위한 차원에서 활용되는 방식이다.또한 마니커는 484억6천700만원 규모의 유상증자도 하기로 했다. 신주는 보통주 2천381만6천710주다. 신주 예정발행가는 보통주 2천35원이며 신주는 12월 23일 상장될 예정이다.체리부로도 4년 연속 영업적자가 지속됐고 지난해엔 174억2천800만원 손실로 영업 적자폭이 커졌다. 올 상반기에도 57억7천700만원의 영업적자를 내자 이달 285억 규모의 유상증자를 진행했다. 동우팜투테이블 또한 지난해 37억3천100만원, 올해 상반기 29억1천900만원의 영업손실을 냈다.충북의 한 육계농가에서 병아리들이 관리되는 모습   [사진=롯데마트] ◆ 공급과잉 영향으로 도매 가격 낮아져…""마진율 최저 수준"" 이처럼 닭고기 소비자 가격 상승 대비 육계업계 실적이 떨어진 건 도매 가격과의 편차가 벌이지고 있어서다. 소비자 가격에 비해 닭고기 도매 가격은 하락세다. 한국육계협회에 따르면 생닭 육계 중품 가격은 26일 기준 1㎏당 1천490원이다. 1년 전보다 25% 떨어졌다.지난 1월 한때 kg당 2천원(축산물품질평가원, 대닭)대까지 치솟았던 생계 유통가격은 지난 14일 현재 798원까지 떨어졌다. 이는 급격한 가격 하락을 보인 지난달 평균 가격인 1천97원 보다도 300원 가까이 하락한 수치다.이같은 가격하락은 공급과잉 탓에 물량이 적체되며 계열화업체들이 생산된 닭들을 생산비 이하의 헐값에 판매하고 있기 때문으로 풀이된다.이 때문에 대다수 육계 계열화업체들이 장기간 영업적자에서 벗어나지 못하고 있는 것이다. 더 큰 문제는 계열화업체의 실적 악화가 계약 농가의 소득에도 직격탄으로 작용한다는 점이다.통계청이 지난 5월 발표한 2020년 축산물생산비조사 결과에 따르면 지난해 육계 1마리당 순수익은 1년 전보다 78.8% 줄어든 38원으로 집계됐다. 총수입이 2천2원인데 사육비가 1천964원에 달하고 있는 상황이다. 이는 최근 5년간 육계농가의 순수익 중 최저 수준이다.육계업계 한 관계자는 ""현재 단순한 수급 조절로 해결되지 못할 정도로 상황이 안좋다""며 ""정부의 조치가 필요한 상황이라고 본다""고 말했다."
6,2021.08.02. 오후 2:02,[경제 톡톡톡]닭고기 2년반 만에 최고가…밥상물가 고공비행,"1. 다음 주 화요일이 말복인데요, 삼계탕에 들어가는 닭고기 소매가격이 2년 반 만에 가장 비싼 수준까지 올랐습니다. 지난달 30일 기준으로 닭고기 소매가격은 킬로그램당 5991원, 6천원에 육박했는데요. 이는 2019년 1월 28일 이후 가장 비싼 가격입니다. 올해 초 조류인플루엔자에 이어 최근 덮친 폭염으로 닭들이 폐사되면서 안 그래도 줄어든 닭고기 생산량이 더 줄었기 때문입니다. 닭고기 뿐만 아니라 과일과 채소 값도 연일 오르고 있어 장보는 게 무섭다는 말까지 나오고 있습니다. [송민복/서울 구로구] 계단식으로 성큼성큼, 인플레이션처럼 한 번에 부쩍 오르는걸 몸으로 느끼는 것 같아요. 안 먹을 수도 없고.  2. 서울의 아파트 거래량은 크게 줄어들었지만 30대 젊은 층의 아파트 ‘패닝바잉’ 현상은 계속 되고 있는 것으로 나타났습니다. 한국부동산원에 따르면 지난달 서울의 아파트 거래를 살펴보면, 30대 거래가 전체의 35.2%를 차지했는데요. 20대 이하 거래까지 합치면 2030의 비중은 40.7%에 이릅니다. 2030의 거래 비중은 지난해 8월 처음 40%를 넘어선 후 올해 1월 최고점을 찍고 내려왔다가 다시 5월부터 40%대를 유지하고 있습니다.  3. 올해 상반기 외국산 맥주 수입액이 5년 만에 최저치를 기록했습니다. 관세청에 따르면 올해 상반기 맥주 수입액은 작년 같은 기간보다 5.4% 줄었습니다. 2019년 일본산 불매운동 이후 일본맥주 소비가 감소한 영향이 컸는데요. 대신 그 자리는 다양한 입맛의 소비자를 겨냥한 국산 수제맥주가 차지했습니다. 한 편의점에 따르면 올해 상반기 수제맥주 매출은 작년 동기보다 240.5% 뛴 것으로 나타났습니다.		"
7,2021.08.02. 오전 3:02,닭고기-과자-햄… 식품물가 줄인상,"폭염속 폐사로 육류가격 크게 올라말복 앞둔 닭고기, 전년대비 22.1%↑과자 10.8%-스팸 8.5% 가격 올려폭염으로 인한 폐사 피해에 신종 코로나바이러스 감염증(코로나19)으로 인한 원가 상승 요인이 더해지며 채소값뿐 아니라 육류 가격도 뛰고 있다. 라면과 햄에 이어 과자 등 다른 가공식품 가격도 줄줄이 오르면서 서민들의 체감물가 부담이 커지고 있다.  1일 한국농수산식품유통공사(aT)에 따르면 지난달 30일 기준 닭고기(도계·중품) 평균 소매가격은 1kg당 5991원으로 1년 전(4905원)에 비해 22.1% 상승했다. 한 달 전(5315원)과 비교해도 12.7% 올랐다. 돼지고기 값도 오름세다. 국산 냉장 돼지고기 삼겹살(중품)의 평균 소매가격(지난달 30일 기준)은 100g당 2514원으로 1년 전(2378원)에 비해 5.7% 올랐다. 평년(최근 5년간 해당 일에서 최고·최소 값을 제외한 3년 평균값) 가격에 비해서는 15.4% 뛰었다.  대표적인 서민 음식인 돼지고기, 닭고기 가격이 오르는 데는 최근 폭염이 영향을 미쳤다. 농림축산식품부에 따르면 지난달 30일 기준 폭염으로 닭 27만1949마리, 돼지 7184마리, 오리 2510마리 등이 폐사한 것으로 신고됐다. 국내 한 대형마트 관계자는 “닭은 폭염으로 폐사율이 높아진 데다 중복과 말복이 이어지며 수요가 높아졌다”고 말했다.  채소와 육류뿐 아니라 주요 가공식품 가격도 연이어 뛰고 있다. 오뚜기, 농심이 최근 라면 가격 인상을 결정한 데 이어 다른 식품회사들도 원재료 값과 인건비 상승 등을 이유로 과자, 햄 등 육가공 제품 가격을 함께 올리고 나섰다. 해태제과는 1일부터 홈런볼 맛동산 버터링 등 대표적인 과자 5종의 가격을 평균 10.8% 인상했다. CJ제일제당도 대표 제품인 스팸을 비롯한 20여 종의 육가공 제품 가격을 평균 9.5% 올렸다.  전문가들은 필수재에 가까운 식품의 가격 상승이 체감물가와 소비심리 등에 악영향을 미칠 것으로 전망했다. 이준영 상명대 경제금융학부 교수는 “최근 가격이 오른 가공식품들은 국민들이 두루 먹는 품목이라 사회 전반적으로 소비심리가 위축될 수 있다”고 말했다."
8,2021.08.02. 오후 4:43,"폭염發 물가 비상…시금치·상추 가격, 1주 전보다 50~80% 올라","시금치값, 일주일만에 80% 올라  상추도 한 달 전 대비 45%  비싸  무더위에 닭고기·수박 수요 늘며 가격 상승 폭염 장기화로 채소 가격이 크게 올랐다. 서울 서초구 양재동 하나로마트 신선식품, 채소 판매대에서 소비자가 채소류를 살펴보고 있다. /연합뉴스        폭염으로 여름철 채소 가격이 급등하면서 정부의 장바구니 물가 관리에 비상이 걸렸다.2일 한국농수산식품유통공사(aT)의 농산물 유통정보(KAMIS)에 따르면 시금치 소매가격이 일주일만에 배로 뛰며 1kg에 2만원을 돌파했다.KAMIS에 따르면 이날 시금치 1kg(약 4단)의 소매 가격은 평균 2만631원이었다. 일주일 전(7월 26일) 1만1473원 대비 약 80% 오른 가격이다. 한 달 전 만해도 시금치 소매 가격은 1kg에 8220원으로 평년 가격을 하회했다.하지만 7월 들어 무더위가 계속되면서 출하량이 줄어 가격이 급등하는 추세다. 특히 7월 마지막 주 들어서면서 7월 27일 1만2237원, 28일 1만2841원, 29일 1만8277원, 30일 1만9459원으로 계속 오르더니 이날 2만원을 넘어섰다.상추 가격도 큰 폭으로 올랐다. 한달 전 소매시장에서 100g에 1093원에 거래되던 청상추는 이날 1582원에 거래됐다. 한달 만에 가격이 45% 올랐다.배추도 이날 소매시장에서 1포기에 3568원에 거래됐다. 한달 전 가격(3195원) 대비 12% 오른 가격이다. 양배추는 이날 1포기 평균 가격이 3609원으로, 지난달 대비 15.5% 오른 가격에 거래됐다.대체적으로 햇빛에 약한 엽채류의 가격이 크게 오른 상태다. 폭염으로 인한 일소(日燒, 강한 햇빛에 오랜 기간 노출된 농작물이 화상을 입는 것) 피해로 채소 생산량이 줄면서 가격이 오르고 있는 것으로 보인다.폭염에 수요가 늘어난 닭고기 가격도 오름세를 보이고 있다. 이날 닭고기 1kg의 평균 가격은 5991원으로 한달 전 가격(5348원) 대비 12% 오른 것으로 나타났다. 수박도 상(上)품 1통이 2만4458원에 거래됐다. 한달 전 가격(1만8178원) 대비 35% 오른 가격이다.초장기 장마가 이어지며 전체적으로 덥지 않았던 작년 여름엔 닭고기 1마리가 4919원, 수박 1통이 1만7904원에 거래됐었다. 식품업계 관계자는 “이달에도 30도 중반을 오르내리는 무더위가 계속될 것으로 관측되는 만큼, 채소 등 주요 식품의 가격이 계속 오를 것”이라고 전망했다."
9,2021.07.30. 오전 6:00,"'가치소비' 겨냥…롯데마트, 동물복지 닭고기 할인 행사","5년 만에 동물복지 닭고기 매출 6.7배[서울=뉴시스]김정현 기자 = 롯데마트가 환경과 건강을 중요시하는 '가치소비' 수요를 겨냥해 출시한 동물복지 닭고기 신상품을 저렴한 가격에 만나볼 수 있는 기회를 마련했다.롯데마트는 오는 8월4일까지 자사 쿠폰앱 '롯데마트고(GO)' 사용 고객에게 '동물복지 수비드 닭가슴살 5종'을 각 30% 할인된 1386원에 판다고 30일 밝혔다.지난달 출시된 '동물복지 수비드 닭가슴살 5종'은 동물복지 인증을 받은 닭의 가슴살 부위를 수비드 방식으로 조리, 가공한 상품이다. 진공팩에 담아 100도 이하 저온에서 천천히 익히는 '수비드' 방식으로 조리해 재료 고유의 맛과 향, 영양소가 보존된다. 고단백 영양 성분은 그대로 유지하면서 닭가슴살 특유의 퍽퍽한 식감은 없애고 부드럽고 촉촉한 식감을 즐길 수 있는 게 특징이다.롯데마트는 지난 2015년부터 대형유통업계 최초로 ‘동물복지인증’ 닭고기를 판매하기 시작했다. ‘동물복지인증’은 법에 따른 기준에 따라 인도적으로 사육 및 운송, 도축 처리된 축산물에 대한 인증 시스템이다.롯데마트의 동물복지 닭고기 매출을 살펴보면 지난해 연간 매출액은 2015년 대비 6.7배 늘었다. 동물복지 닭고기는 매년 전체 닭고기 매출의 30% 이상 수준을 차지하고 있다."
10,2021.09.14. 오후 2:24,소고기·돼지고기·계란 가격 강세…과일·채소 하락세,"농식품부, 추석 성수기 막바지 물가 및 성수품 공급 상황 점검핵심요약배추, 무, 사과, 배, 닭고기, 밤 등 대부분 성수품 가격은 지난해 보다 낮게 형성 중이지만 소고기, 돼지고기, 계란 등은 지난해 보다 다소 높은 수준을 보이고 있다.추석 과일 가득한 한 농산물 도매시장. 연합뉴스추석을 앞두고 소고기와 돼지고기, 계란 가격은 강세를 보이고 있지만 과일과 채소 가격은 하락세를 보이고 있는 것으로 나타났다.농림축산식품부는 배추, 무, 사과, 배, 닭고기, 밤 등 대부분 성수품 가격은 지난해 보다 낮게 형성 중이지만 수요 증가 등으로 가격 강세가 지속 중인 소고기, 돼지고기, 계란 등은 지난해 보다 다소 높은 수준을 보이고 있다고 14일 밝혔다.농식품부에 따르면 이달 초순 기준 배추 1포기 소매가격은 5272원으로 지난해(9621원)에 비해 45.2% 하락했고 무 1개 소매가격은 2016원으로 지난해(3578원)에 비해 41.1% 하락했다.사과(홍로) 10개 소매가격은 2만 4907원으로 지난해(3만 369원)에 비해 18.0% 내렸고 배(신고) 10개 소매가격은 3만 2101원으로 지난해(3만 7269원)에 비해 13.9% 내렸다.산지 쌀값(20kg)은 지난달 25일 5만 5333원에서 이달 5일 5만 4758원으로 1.0% 하락했고 소비자 쌀값도 지난달 말 대비 3.3% 하락하는 등 안정세를 보이고 있는 것으로 나타났다.닭고기 1kg 소매가격은 5210원으로 지난해(5458원)에 비해 5.5% 하락했다.반면 소고기 100g 소매가격은 5068원으로 지난해(4817원)에 비해 5.2% 상승했고 돼지고기(삼겹살) 100g 소매가격은 2617원으로 지난해(2326원)에 비해 12.5% 상승했다.계란 30개 소매가격은 6603원으로 지난해(5547원)에 비해 19.0% 상승했다. 그러나 계란은 7월 하순 7500원대였던 가격이 이달 13일 6541원까지 내린 것으로 나타났다.다만 일조량에 따라 출하량 변동이 큰 깻잎, 청상추, 애호박 등 시설채소는 지난달 잦은 강우 등으로 생육이 지연되면서 가격이 등락 중이지만 생육 회복도 빨라 기상 여건 개선 시 가격도 안정될 전망이다.농식품부는 14일 오후 농업관측센터에서 추석 성수품 수급안정 대책의 이행상황 점검 및 추석 성수품 수급 동향 점검 회의를 개최했다.농식품부 김인중 식품산업정책실장은 ""한가위를 맞는 국민 모두 따듯한 명절을 보낼 수 있도록 농축산물 할인 쿠폰과 한우·한돈 할인행사, 중소 과일 특별 할인판매 등 체감 물가 안정 노력을 지속 추진하는 한편 성수품 수급안정 대책기간 마지막까지 성수품 공급 확대 이행상황도 빈틈없이 챙기겠다""고 말했다.		"
